date;symbol;action;slope;targetWeight;actualUsd;targetUsd;diffUsd;price;tradeUsd;units;portfolioValue
2020-12-05;BNBUSDT;sell;52,733182;68,9272;7362,77;7343,41;-19,36;29,72800000;19,36;0,65137470;10653,87
2020-12-05;VOO;buy;7,310698;9,5558;997,49;1018,06;20,57;343,69000244;19,36;0,05634167;10653,87
2020-12-06;BTCUSDT;sell;16,579410;21,6321;2318,97;2298,10;-20,88;19359,40000000;20,88;0,00107839;10623,55
2020-12-06;BNBUSDT;buy;52,752581;68,8292;7287,73;7312,11;24,38;29,50260000;20,88;0,70763165;10623,55
2020-12-07;BNBUSDT;sell;52,770391;68,7331;7275,76;7263,61;-12,15;29,37000000;12,15;0,41370092;10567,85
2020-12-07;VOO;sell;7,310698;9,5221;1016,85;1006,28;-10,56;343,69000244;10,56;0,03073735;10567,85
2020-12-07;BTCUSDT;buy;16,694759;21,7448;2275,24;2297,96;22,71;19166,90000000;22,71;0,00118509;10567,85
2020-12-08;VOO;sell;7,310698;9,5087;1006,28;955,29;-51,00;343,69000244;51,00;0,14838109;10046,50
2020-12-08;BNBUSDT;buy;52,772171;68,6382;6843,30;6895,73;52,43;27,67050000;51,00;1,84301326;10046,50
2020-12-09;BNBUSDT;sell;52,778090;68,5438;7012,57;6985,17;-27,40;28,14520000;27,40;0,97345474;10190,81
2020-12-09;BTCUSDT;buy;16,910244;21,9616;2222,95;2238,07;15,12;18541,28000000;15,12;0,00081527;10190,81
2020-12-09;VOO;buy;7,310698;9,4945;955,29;967,57;12,28;343,69000244;12,28;0,03573560;10190,81
2020-12-10;VOO;sell;7,310698;9,4814;967,57;952,30;-15,27;343,69000244;15,27;0,04442682;10043,88
2020-12-10;BTCUSDT;buy;17,015534;22,0678;2203,47;2216,47;13,00;18254,63000000;13,00;0,00071201;10043,88
2020-12-11;VOO;sell;7,310698;9,4691;952,30;940,31;-11,99;343,69000244;11,99;0,03487952;9930,36
2020-12-11;BTCUSDT;buy;17,118230;22,1721;2189,98;2201,77;11,79;18036,53000000;11,79;0,00065363;9930,36
2020-12-12;BTCUSDT;sell;17,227729;22,2809;2296,03;2278,83;-17,20;18808,69000000;17,20;0,00091462;10227,74
2020-12-12;VOO;buy;7,310698;9,4550;940,31;967,04;26,72;343,69000244;19,67;0,05724067;10227,74
2020-12-13;BNBUSDT;sell;52,796074;68,1707;7236,31;7171,22;-65,09;29,15710000;65,09;2,23225852;10519,51
2020-12-13;BTCUSDT;buy;17,340069;22,3896;2323,21;2355,28;32,07;19174,99000000;32,07;0,00167246;10519,51
2020-12-13;VOO;buy;7,310698;9,4396;959,99;993,00;33,02;343,69000244;33,02;0,09606533;10519,51
2020-12-14;BNBUSDT;sell;52,817209;68,0804;7386,85;7316,72;-70,12;30,03380000;70,12;2,33486894;10747,19
2020-12-14;BTCUSDT;buy;17,452774;22,4963;2367,34;2417,72;50,38;19273,14000000;50,38;0,00261415;10747,19
2020-12-14;VOO;buy;7,310698;9,4233;993,00;1012,74;19,74;343,69000244;19,74;0,05744161;10747,19
2020-12-15;BTCUSDT;sell;17,566331;22,6049;2436,95;2404,63;-32,32;19426,43000000;32,32;0,00166354;10637,67
2020-12-15;VOO;sell;7,310698;9,4076;1012,74;1000,75;-11,99;343,69000244;11,99;0,03489610;10637,67
2020-12-15;BNBUSDT;buy;52,833333;67,9875;7187,97;7232,28;44,31;29,50530000;44,31;1,50176735;10637,67
2020-12-16;BTCUSDT;sell;17,695633;22,7262;2640,94;2529,87;-111,07;21335,52000000;111,07;0,00520610;11131,94
2020-12-16;BNBUSDT;buy;52,858140;67,8848;7490,25;7556,89;66,65;30,55770000;66,65;2,18106471;11131,94
2020-12-16;VOO;buy;7,310698;9,3890;1000,75;1045,18;44,43;343,69000244;44,43;0,12926339;11131,94
2020-12-17;BTCUSDT;sell;17,835862;22,8588;2703,18;2565,47;-137,72;22797,16000000;137,72;0,00604090;11223,10
2020-12-17;BNBUSDT;buy;52,879697;67,7717;7474,74;7606,08;131,34;30,22550000;131,34;4,34537236;11223,10
2020-12-18;BNBUSDT;sell;52,907271;67,6600;7798,01;7747,03;-50,98;30,98820000;50,98;1,64523732;11449,94
2020-12-18;BTCUSDT;buy;17,977834;22,9908;2600,38;2632,43;32,06;23107,39000000;32,06;0,00138722;11449,94
2020-12-18;VOO;buy;7,310698;9,3492;1045,18;1070,48;25,30;343,69000244;25,30;0,07361903;11449,94
2020-12-19;BNBUSDT;sell;52,953062;67,5523;8329,15;8182,90;-146,25;33,31670000;146,25;4,38972797;12113,43
2020-12-19;BTCUSDT;buy;18,124478;23,1214;2713,80;2800,80;87,00;23821,61000000;87,00;0,00365217;12113,43
2020-12-19;VOO;buy;7,310698;9,3263;1070,48;1129,73;59,25;343,69000244;59,25;0,17239604;12113,43
2020-12-20;BNBUSDT;sell;53,005917;67,4509;8428,04;8306,94;-121,11;34,31480000;121,11;3,52929179;12315,53
2020-12-20;BTCUSDT;buy;18,267822;23,2461;2757,75;2862,88;105,13;23455,52000000;105,13;0,00448194;12315,53
2020-12-20;VOO;buy;7,310698;9,3030;1129,73;1145,71;15,98;343,69000244;15,98;0,04649772;12315,53
2020-12-21;BTCUSDT;sell;18,405035;23,3696;2773,07;2728,97;-44,10;22719,71000000;44,10;0,00194105;11677,46
2020-12-21;VOO;sell;7,310698;9,2827;1145,71;1083,98;-61,73;343,69000244;61,73;0,17961557;11677,46
2020-12-21;BNBUSDT;buy;53,040681;67,3478;7758,67;7864,50;105,83;32,05000000;105,83;3,30209273;11677,46
2020-12-22;BNBUSDT;sell;53,086432;67,2432;8224,01;8182,17;-41,85;33,51510000;41,85;1,24861732;12168,02
2020-12-22;VOO;buy;7,310698;9,2603;1083,98;1126,79;42,81;343,69000244;41,85;0,12175953;12168,02
2020-12-23;BTCUSDT;sell;18,689651;23,6238;2790,60;2723,72;-66,87;23232,76000000;66,87;0,00287833;11529,56
2020-12-23;VOO;sell;7,310698;9,2408;1125,83;1065,42;-60,41;343,69000244;60,41;0,17576101;11529,56
2020-12-23;BNBUSDT;buy;53,113206;67,1354;7613,14;7740,42;127,28;31,18430000;127,28;4,08150672;11529,56
2020-12-24;BNBUSDT;sell;53,150025;67,0296;8064,39;7984,39;-80,00;32,48950000;80,00;2,46219845;11911,73
2020-12-24;BTCUSDT;buy;18,832583;23,7505;2781,93;2829,10;47,18;23729,20000000;47,18;0,00198807;11911,73
2020-12-24;VOO;buy;7,310698;9,2198;1065,42;1098,24;32,82;343,69000244;32,82;0,09549387;11911,73
2020-12-25;BTCUSDT;sell;18,981927;23,8813;2946,33;2914,35;-31,98;24712,47000000;31,98;0,00129421;12203,47
2020-12-25;VOO;buy;7,310698;9,1976;1098,24;1122,43;24,19;343,69000244;24,19;0,07038694;12203,47
2020-12-26;BTCUSDT;sell;19,142677;24,0214;3124,37;3007,67;-116,70;26493,39000000;116,70;0,00440492;12520,77
2020-12-26;BNBUSDT;buy;53,236561;66,8046;8266,17;8364,45;98,28;33,63610000;98,28;2,92180624;12520,77
