strategy,tradeId,symbol,name,market,signalType,signalDate,entryDate,exitDate,entryPrice,exitAveragePrice,allocatedCapital,desiredCapitalUsd,isPartialPosition,netPnl,returnPct,barsHeld,calendarDays,holdScore,tp1QtyPct,tp1Reached,trailAtr,exitReason,totalFees,mfePct,maePct
final_trend_runner_global_regime,296,RWR,SPDR Dow Jones REIT ETF,etf,Pullback + Breakout,2017-06-12,2017-06-13,2017-07-06,68.33398831503241,66.81030575543697,30.25389983629394,30.25389983629394,false,-0.7041532756108246,-2.327479364382937,16,23,73.43665155009549,23.281674224952255,false,6.539015835255252,runner_trailing_stop,0.029901654635583287,1.631090123971399,-2.595500460318457
final_trend_runner_global_regime,286,XLP,Consumer Staples Select Sector SPDR Fund,etf,Pullback,2017-01-31,2017-02-01,2017-07-07,40.586563707953694,42.69460103364906,28.612188435625352,28.61218843562535,false,1.4560135254399285,5.08878769869637,108,156,92.81450996504495,13.592745017477526,true,7.6047980480774715,runner_trailing_stop,0.029340566536868312,10.112547385421113,-0.3746158696482244
final_trend_runner_global_regime,283,XLU,Utilities Select Sector SPDR Fund,etf,Pullback,2016-12-29,2016-12-30,2017-07-11,18.164085156524955,19.339015872007977,28.28210849839921,28.282108498399207,false,1.7993112718870776,6.362012478627327,131,193,77.28506424224022,21.357467878879888,true,6.750678533323212,runner_trailing_stop,0.029182221257716037,12.503064345178647,-2.2561445702259295
final_trend_runner_global_regime,302,RWR,SPDR Dow Jones REIT ETF,etf,Pullback,2017-07-17,2017-07-18,2017-08-11,68.3859725256811,66.67932355343372,30.527833154004202,30.527833154004202,false,-0.791607563117708,-2.593068296476444,18,24,75.39128795903989,22.304356020480057,false,6.646520837747194,runner_trailing_stop,0.03013183900351432,1.2651337105007292,-2.6588414846209623
final_trend_runner_global_regime,295,IWN,iShares Russell 2000 Value ETF,etf,Pullback,2017-06-01,2017-06-02,2017-08-14,98.60019062173487,97.20300207467989,30.28537736138912,30.28537736138912,false,-0.45899242715943345,-1.515557893442674,50,73,71.64516098461685,24.177419507691575,false,6.440483854153927,regime_loss,0.03005577391364609,3.773864619717525,-2.3445983612983303
final_trend_runner_global_regime,266,IWM,iShares Russell 2000 ETF,etf,Pullback + Breakout,2016-11-14,2016-11-15,2017-08-15,114.0469498940908,124.13928768620805,27.55200705929453,27.55200705929453,false,2.4081800092523515,8.740488502596996,187,273,75.07581931335127,22.462090343324363,true,6.62917006223432,regime_loss,0.028756706298099594,13.167747611749297,-0.4766169695165072
final_trend_runner_global_regime,262,IJR,iShares Core S&P Small-Cap ETF,etf,Pullback + Breakout,2016-11-14,2016-11-15,2017-08-15,56.28466942568377,60.77092144884378,27.55429527631479,27.55429527631479,false,2.1665197840212826,7.862729793287753,187,273,83.93839414690108,18.030802926549462,true,7.116611678079559,regime_loss,0.028638103957797426,11.85492720866144,-0.5648351268403972
final_trend_runner_global_regime,265,IJS,iShares S&P Small-Cap 600 Value ETF,etf,Pullback + Breakout,2016-11-14,2016-11-15,2017-08-15,56.90899135480929,60.26216236939306,27.550994972131086,27.550994972131083,false,1.5941900005187897,5.786324603272497,187,273,76.87700341805933,21.561498290970334,true,6.728235187993263,regime_loss,0.028348495607014513,9.5355838662312,-0.5776238387669088
final_trend_runner_global_regime,301,IUSV,iShares Core S&P U.S. Value ETF,etf,Pullback,2017-07-14,2017-07-17,2017-08-17,42.110510528677935,41.495866305016676,30.516443226287418,30.516443226287418,false,-0.47547343206882786,-1.5580892849899572,23,31,70.16634103471631,24.916829482641845,false,6.359148756909397,runner_trailing_stop,0.03027859521154379,1.2559495626739674,-1.7261960512110228
final_trend_runner_global_regime,260,IJH,iShares Core S&P Mid-Cap ETF,etf,Pullback + Breakout,2016-11-14,2016-11-15,2017-08-17,27.492647740459187,29.60950842123993,27.556545641907242,27.556545641907242,false,2.092117154529525,7.592087853522143,189,275,85.7149402797528,17.142529860123602,true,7.214321715386403,runner_trailing_stop,0.028603134399244237,14.0733445723566,-0.4531211266697162
final_trend_runner_global_regime,264,IWS,iShares Russell Mid-Cap Value ETF,etf,Pullback + Breakout,2016-11-14,2016-11-15,2017-08-17,64.61283212437382,69.2308652312707,27.5525317570036,27.552531757003596,false,1.939738088631394,7.040144643471214,189,275,78.90855286669253,20.545723566653734,true,6.839970407668089,runner_trailing_stop,0.02852289286656467,11.863363581292456,-0.16578362183491963
final_trend_runner_global_regime,280,IYC,iShares U.S. Consumer Discretionary ETF,etf,Pullback + Breakout,2016-11-21,2016-11-22,2017-08-17,35.18699691477087,38.0120754535597,27.81364763204784,27.813647632047836,false,2.2030585073549886,7.920782403299555,184,268,92.9460968990409,13.526951550479552,true,7.61203532944725,runner_trailing_stop,0.028915734879285893,13.30315850769871,-0.5266770159383727
final_trend_runner_global_regime,261,MDY,SPDR S&P MidCap 400 ETF Trust,etf,Pullback + Breakout,2016-11-14,2016-11-15,2017-08-18,256.47453199126255,275.1749427656345,27.555550002820258,27.555550002820254,false,1.97961681705155,7.184094735357995,190,276,84.69947242193636,17.65026378903182,true,7.1584709832065,runner_trailing_stop,0.02854586045201541,13.89412704172579,-0.39905520357778934
final_trend_runner_global_regime,300,IWD,iShares Russell 1000 Value ETF,etf,Pullback,2017-07-12,2017-07-13,2017-08-18,95.88855816418894,94.3798877938389,30.372740514976815,30.372740514976815,false,-0.507751893276648,-1.6717355255653512,26,36,70.19598992542606,24.90200503728697,false,6.360779445898434,runner_trailing_stop,0.030118745160051464,1.5362714163725657,-1.6706794433131062
final_trend_runner_global_regime,267,IWO,iShares Russell 2000 Growth ETF,etf,Breakout,2016-11-14,2016-11-15,2017-08-18,141.46024370532507,153.7308644234566,27.55301217709631,27.553012177096306,false,2.360090169213862,8.565633964244782,190,276,81.5156648944262,19.242167552786903,true,6.983361569193441,runner_trailing_stop,0.028733654467659162,16.02975408954208,-0.8245473511030131
final_trend_runner_global_regime,263,IWR,iShares Russell Mid-Cap ETF,etf,Pullback + Breakout,2016-11-14,2016-11-15,2017-08-18,37.7647590506808,41.028933500574276,27.555283965705538,27.555283965705534,false,2.3518025058034304,8.53485127836248,190,276,82.16325821101633,18.918370894491837,true,7.018979201605898,runner_trailing_stop,0.02873178035217879,13.698364319023181,-0.19884335471599207
