strategy,date,equity,cash,positionValue,openPositions,deployedPct,targetPositionCapital
final_trend_runner_fresh_common_period,2025-02-10,1341.9864673287286,-7.105427357601002e-15,1341.9864673287286,37,100,36.904627851540035
final_trend_runner_fresh_common_period,2025-02-11,1340.4906666607137,-7.105427357601002e-15,1340.4906666607137,37,100,36.86349333316963
final_trend_runner_fresh_common_period,2025-02-12,1336.8146898084185,-7.105427357601002e-15,1336.8146898084185,37,100,36.76240396973151
final_trend_runner_fresh_common_period,2025-02-13,1351.7849927983543,-7.105427357601002e-15,1351.7849927983543,37,100,37.17408730195474
final_trend_runner_fresh_common_period,2025-02-14,1352.6461652487887,-7.105427357601002e-15,1352.6461652487887,37,100,37.19776954434169
final_trend_runner_fresh_common_period,2025-02-15,1352.6461652487887,-7.105427357601002e-15,1352.6461652487887,37,100,37.19776954434169
final_trend_runner_fresh_common_period,2025-02-16,1352.6461652487887,-7.105427357601002e-15,1352.6461652487887,37,100,37.19776954434169
final_trend_runner_fresh_common_period,2025-02-17,1352.6461652487887,-7.105427357601002e-15,1352.6461652487887,37,100,37.19776954434169
final_trend_runner_fresh_common_period,2025-02-18,1356.5857070435388,-7.105427357601002e-15,1356.5857070435388,37,100,37.306106943697316
final_trend_runner_fresh_common_period,2025-02-19,1356.953792455276,-7.105427357601002e-15,1356.953792455276,37,100,37.31622929252009
final_trend_runner_fresh_common_period,2025-02-20,1347.1036371817665,-7.105427357601002e-15,1347.1036371817665,37,100,37.04535002249858
final_trend_runner_fresh_common_period,2025-02-21,1321.639047376082,-7.105427357601002e-15,1321.639047376082,37,100,36.34507380284226
final_trend_runner_fresh_common_period,2025-02-22,1321.639047376082,-7.105427357601002e-15,1321.639047376082,37,100,36.34507380284226
final_trend_runner_fresh_common_period,2025-02-23,1321.639047376082,-7.105427357601002e-15,1321.639047376082,37,100,36.34507380284226
final_trend_runner_fresh_common_period,2025-02-24,1315.0929440902064,71.01549852037334,1244.0774455698331,35,94.599963535695,36.16505596248068
final_trend_runner_fresh_common_period,2025-02-25,1309.046447908596,68.92933200231737,1240.1171159062787,35,94.73438607832117,35.99877731748639
final_trend_runner_fresh_common_period,2025-02-26,1308.8352571771877,0,1308.8352571771877,37,100,35.992969572372665
final_trend_runner_fresh_common_period,2025-02-27,1292.9200219780012,21.78589301923696,1271.1341289587642,36,98.31498525439282,35.55530060439503
final_trend_runner_fresh_common_period,2025-02-28,1312.0410824454514,57.01986639400897,1255.0212160514425,35,95.65410968018378,36.08112976724991
final_trend_runner_fresh_common_period,2025-03-01,1312.0410824454514,57.01986639400897,1255.0212160514425,35,95.65410968018378,36.08112976724991
final_trend_runner_fresh_common_period,2025-03-02,1312.0410824454514,57.01986639400897,1255.0212160514425,35,95.65410968018378,36.08112976724991
final_trend_runner_fresh_common_period,2025-03-03,1293.29574428748,211.1144322344743,1082.1813120530057,31,83.67624472847977,35.5656329679057
