date;symbol;action;slope;targetWeight;actualUsd;targetUsd;diffUsd;price;tradeUsd;units;portfolioValue
2021-07-19;GLDM;sell;12,477210;6,0764;643,50;605,52;-37,99;35,81999969;37,99;1,06044244;9965,11
2021-07-19;BNBUSDT;buy;131,621008;64,0992;6251,39;6387,56;136,17;280,54000000;136,17;0,48539874;9965,11
2021-07-20;BTCUSDT;sell;53,696904;26,1120;2515,32;2483,23;-32,08;29790,35000000;32,08;0,00107695;9509,94
2021-07-20;VOO;sell;7,585474;3,6887;368,12;350,79;-17,33;403,14999390;17,33;0,04298488;9509,94
2021-07-20;GLDM;sell;12,477210;6,0675;605,52;577,01;-28,50;35,81999969;28,50;0,79577738;9509,94
2021-07-20;BNBUSDT;buy;131,881211;64,1318;6020,98;6098,90;77,92;264,44000000;77,92;0,29464824;9509,94
2021-07-21;BNBUSDT;sell;132,168581;64,1653;6763,59;6654,50;-109,09;293,26000000;109,09;0,37198671;10370,86
2021-07-21;BTCUSDT;buy;53,750061;26,0946;2679,47;2706,24;26,77;32144,51000000;26,77;0,00083275;10370,86
2021-07-21;VOO;buy;7,585474;3,6826;350,79;381,92;31,12;403,14999390;31,12;0,07720326;10370,86
2021-07-21;GLDM;buy;12,477210;6,0574;577,01;628,21;51,20;35,81999969;51,20;1,42926075;10370,86
2021-07-22;BTCUSDT;sell;53,803548;26,0776;2718,30;2708,21;-10,09;32287,83000000;10,09;0,00031253;10385,20
2021-07-22;BNBUSDT;buy;132,454489;64,1983;6656,77;6667,13;10,36;293,36000000;10,09;0,03439780;10385,20
2021-07-23;BTCUSDT;sell;53,863300;26,0624;2821,13;2771,07;-50,07;33634,09000000;50,07;0,00148853;10632,43
2021-07-23;BNBUSDT;buy;132,744369;64,2300;6801,17;6829,21;28,04;299,27000000;28,04;0,09369932;10632,43
2021-07-23;GLDM;buy;12,477210;6,0373;628,21;641,91;13,70;35,81999969;13,70;0,38238303;10632,43
2021-07-24;BTCUSDT;sell;53,925628;26,0481;2822,48;2796,55;-25,93;34258,14000000;25,93;0,00075693;10736,10
2021-07-24;BNBUSDT;buy;133,034798;64,2608;6881,47;6899,11;17,64;301,56000000;17,64;0,05850498;10736,10
2021-07-24;VOO;buy;7,585474;3,6641;381,92;393,38;11,46;403,14999390;11,46;0,02842777;10736,10
2021-07-25;BTCUSDT;sell;53,992779;26,0357;2888,22;2825,04;-63,18;35381,02000000;63,18;0,00178565;10850,64
2021-07-25;BNBUSDT;buy;133,324580;64,2900;6921,99;6975,87;53,89;302,56000000;53,89;0,17810621;10850,64
2021-07-25;GLDM;buy;12,477210;6,0166;641,91;652,84;10,93;35,81999969;10,93;0,30519881;10850,64
2021-07-26;BTCUSDT;sell;54,067802;26,0382;2973,28;2873,79;-99,49;37237,60000000;99,49;0,00267166;11036,82
2021-07-26;BNBUSDT;buy;133,614115;64,3465;7009,08;7101,81;92,73;304,00000000;92,73;0,30503685;11036,82
2021-07-27;BTCUSDT;sell;54,151767;26,0310;3045,14;2975,24;-69,90;39457,87000000;69,90;0,00177141;11429,63
2021-07-27;BNBUSDT;buy;133,910586;64,3713;7323,27;7357,41;34,14;313,48000000;34,14;0,10889316;11429,63
2021-07-27;VOO;buy;7,585474;3,6464;393,38;416,77;23,39;403,14999390;23,39;0,05801297;11429,63
2021-07-27;GLDM;buy;12,380492;5,9513;657,58;680,22;22,64;36,08000183;22,64;0,62749364;11429,63
