date;symbol;action;slope;targetWeight;actualUsd;targetUsd;diffUsd;price;tradeUsd;units;portfolioValue
2016-02-01;VOO;buy;8,594663;28,7732;3105,42;3155,96;50,54;177,38000488;50,54;0,28492974;10968,41
2016-02-01;TLT;buy;2,082340;6,9713;754,27;764,64;10,36;130,97999573;10,36;0,07911830;10968,41
2016-03-01;VOO;sell;8,486415;28,5451;3354,88;3223,25;-131,63;188,55999756;131,63;0,69805653;11291,78
2016-03-01;AAPL;buy;12,352335;41,5486;4661,69;4691,58;29,89;24,96500015;29,89;1,19729166;11291,78
2016-03-01;GLD;buy;6,796888;22,8622;2512,74;2581,55;68,81;117,63999939;68,81;0,58491850;11291,78
2016-03-01;TLT;buy;2,094190;7,0441;762,48;795,40;32,93;130,61000061;32,93;0,25208896;11291,78
2016-04-01;GLD;sell;6,708912;22,7078;2713,43;2594,92;-118,51;123,65000153;118,51;0,95843553;11427,46
2016-04-01;AAPL;buy;12,352335;41,8092;4691,58;4777,73;86,15;24,96500015;86,15;3,45079624;11427,46
2016-04-01;TLT;buy;2,103394;7,1194;787,91;813,57;25,66;129,38000488;25,66;0,19830115;11427,46
2016-05-01;AAPL;sell;12,352335;42,0691;4777,73;4766,36;-11,37;24,96500015;11,37;0,45546291;11329,84
2016-05-01;VOO;sell;8,291593;28,2392;3291,29;3199,45;-91,83;192,53999329;91,83;0,47696349;11329,84
2016-05-01;GLD;buy;6,605170;22,4956;2435,64;2548,72;113,08;116,05999756;109,91;0,94701364;11329,84
2016-06-01;AAPL;sell;12,411762;42,4041;5064,20;5048,34;-15,86;26,52499962;15,86;0,59777984;11905,31
2016-06-01;GLD;sell;6,527128;22,2996;2773,87;2654,83;-119,04;126,47000122;119,04;0,94124681;11905,31
2016-06-01;VOO;buy;8,197891;28,0077;3193,80;3334,40;140,59;192,19999695;134,90;0,70185015;11905,31
2016-07-01;VOO;sell;8,141056;27,9142;3451,32;3376,87;-74,45;199,27999878;74,45;0,37357190;12097,34
2016-07-01;GLD;sell;6,455701;22,1354;2707,52;2677,79;-29,73;128,97999573;29,73;0,23049547;12097,34
2016-07-01;AAPL;buy;12,411762;42,5576;5048,34;5148,34;100,00;26,52499962;100,00;3,76999392;12097,34
2016-08-01;AAPL;sell;12,411762;42,7347;5148,34;5129,70;-18,64;26,52499962;18,64;0,70277343;12003,58
2016-08-01;VOO;sell;8,080038;27,8202;3380,94;3339,43;-41,51;199,52000427;41,51;0,20806014;12003,58
2016-08-01;GLD;buy;6,376526;21,9549;2590,60;2635,38;44,78;124,77999878;44,78;0,35886639;12003,58
